1,there are 3 green triangles,how many green triangles are there?,3
2,there are 1 red triangle,how many red triangles are there?,1
2,there are 3 purple ovals,how many purple ovals are there?,3
3,there are 3 pink diamonds,how many pink diamonds are there?,3
3,there are 1 red diamond,how many red diamonds are there?,1
4,there are 5 red stars,how many red stars are there?,5
5,there are 7 blue circles,how many blue circles are there?,7
6,there are 1 brown diamond,how many brown diamonds are there?,1
6,there are 4 blue diamonds,how many blue diamonds are there?,4
7,there are 2 black ovals,how many black ovals are there?,2
7,there are 4 red diamonds,how many red diamonds are there?,4
8,there are 3 yellow rectangles,how many yellow rectangles are there?,3
8,there are 4 pink squares,how many pink squares are there?,4
9,there are 1 orange circle,how many orange circles are there?,1
9,there are 5 yellow triangles,how many yellow triangles are there?,5
10,there are 5 red diamonds,how many red diamonds are there?,5
11,there are 8 red diamonds,how many red diamonds are there?,8
12,there are 2 green squares,how many green squares are there?,2
12,there are 1 white circle,how many white circles are there?,1
13,there are 4 black circles,how many black circles are there?,4
13,there are 5 pink triangles,how many pink triangles are there?,5
14,there are 1 pink circle,how many pink circles are there?,1
14,there are 6 purple stars,how many purple stars are there?,6
15,there are 4 red stars,how many red stars are there?,4
16,there are 2 green diamonds,how many green diamonds are there?,2
17,there are 1 pink star,how many pink stars are there?,1
17,there are 3 blue stars,how many blue stars are there?,3
18,there are 3 white ovals,how many white ovals are there?,3
18,there are 1 green square,how many green squares are there?,1
19,there are 4 pink squares,how many pink squares are there?,4
19,there are 1 red triangle,how many red triangles are there?,1
20,there are 7 purple circles,how many purple circles are there?,7
20,there are 2 white stars,how many white stars are there?,2
21,there are 6 white circles,how many white circles are there?,6
22,there are 3 white squares,how many white squares are there?,3
23,there are 3 black ovals,how many black ovals are there?,3
23,there are 3 white stars,how many white stars are there?,3
24,there are 3 orange triangles,how many orange triangles are there?,3
24,there are 5 orange ovals,how many orange ovals are there?,5
25,there are 6 purple circles,how many purple circles are there?,6
26,there are 6 brown rectangles,how many brown rectangles are there?,6
27,there are 3 green rectangles,how many green rectangles are there?,3
27,there are 4 purple diamonds,how many purple diamonds are there?,4
28,there are 2 yellow circles,how many yellow circles are there?,2
29,there are 1 brown diamond,how many brown diamonds are there?,1
29,there are 6 white triangles,how many white triangles are there?,6
30,there are 3 green triangles,how many green triangles are there?,3
30,there are 2 black stars,how many black stars are there?,2
31,there are 5 blue diamonds,how many blue diamonds are there?,5
32,there are 7 white circles,how many white circles are there?,7
32,there are 2 black rectangles,how many black rectangles are there?,2
33,there are 5 purple squares,how many purple squares are there?,5
34,there are 3 green circles,how many green circles are there?,3
35,there are 1 blue star,how many blue stars are there?,1
36,there are 8 black diamonds,how many black diamonds are there?,8
37,there are 3 red stars,how many red stars are there?,3
38,there are 2 blue diamonds,how many blue diamonds are there?,2
39,there are 1 white triangle,how many white triangles are there?,1
39,there are 3 blue squares,how many blue squares are there?,3
40,there are 1 brown rectangle,how many brown rectangles are there?,1
41,there are 5 green stars,how many green stars are there?,5
41,there are 2 green diamonds,how many green diamonds are there?,2
42,there are 3 blue rectangles,how many blue rectangles are there?,3
42,there are 1 purple oval,how many purple ovals are there?,1
43,there are 9 green stars,how many green stars are there?,9
44,there are 2 pink squares,how many pink squares are there?,2
44,there are 4 pink circles,how many pink circles are there?,4
45,there are 2 black ovals,how many black ovals are there?,2
45,there are 5 black rectangles,how many black rectangles are there?,5
46,there are 2 pink ovals,how many pink ovals are there?,2
47,there are 1 white triangle,how many white triangles are there?,1
47,there are 6 blue ovals,how many blue ovals are there?,6
48,there are 3 blue squares,how many blue squares are there?,3
48,there are 1 blue star,how many blue stars are there?,1
49,there are 1 purple square,how many purple squares are there?,1
50,there are 8 yellow diamonds,how many yellow diamonds are there?,8
51,there are 4 red triangles,how many red triangles are there?,4
52,there are 8 brown ovals,how many brown ovals are there?,8
53,there are 8 green diamonds,how many green diamonds are there?,8
53,there are 1 yellow diamond,how many yellow diamonds are there?,1
54,there are 8 blue circles,how many blue circles are there?,8
55,there are 5 brown squares,how many brown squares are there?,5
55,there are 1 pink diamond,how many pink diamonds are there?,1
56,there are 1 blue star,how many blue stars are there?,1
56,there are 8 purple ovals,how many purple ovals are there?,8
57,there are 2 orange diamonds,how many orange diamonds are there?,2
57,there are 4 green stars,how many green stars are there?,4
58,there are 8 orange ovals,how many orange ovals are there?,8
