1,there are 8 flowers,how many flowers are there?,8
2,there are 3 bananas,how many bananas are there?,3
2,there are 2 lamps,how many lamps are there?,2
3,there are 2 huts,how many huts are there?,2
3,there are 1 pineapple,how many pineapples are there?,1
4,there are 6 bells,how many bells are there?,6
5,there are 2 frogs,how many frogs are there?,2
5,there are 3 sharks,how many sharks are there?,3
6,there are 2 balls,how many balls are there?,2
6,there are 2 pumpkins,how many pumpkins are there?,2
7,there are 3 dogs,how many dogs are there?,3
7,there are 3 mangos,how many mangos are there?,3
8,there are 1 shark,how many sharks are there?,1
8,there are 2 dogs,how many dogs are there?,2
9,there are 7 cars,how many cars are there?,7
10,there are 3 dogs,how many dogs are there?,3
11,there are 5 pigs,how many pigs are there?,5
12,there are 4 caps,how many caps are there?,4
12,there are 1 sun,how many suns are there?,1
13,there are 1 shark,how many sharks are there?,1
13,there are 2 huts,how many huts are there?,2
14,there are 8 cars,how many cars are there?,8
15,there are 1 tree,how many trees are there?,1
16,there are 4 pencils,how many pencils are there?,4
17,there are 3 ants,how many ants are there?,3
17,there are 3 corns,how many corns are there?,3
18,there are 1 bird,how many birds are there?,1
18,there are 2 bananas,how many bananas are there?,2
19,there are 5 umbrellas,how many umbrellas are there?,5
20,there are 4 balloons,how many balloons are there?,4
21,there are 7 pigs,how many pigs are there?,7
22,there are 6 pencils,how many pencils are there?,6
22,there are 2 zirafahs,how many zirafahs are there?,2
23,there are 1 elephant,how many elephants are there?,1
23,there are 3 eapots,how many eapots are there?,3
24,there are 1 tree,how many trees are there?,1
25,there are 8 owls,how many owls are there?,8
26,there are 3 ants,how many ants are there?,3
27,there are 7 tops,how many tops are there?,7
27,there are 1 corn,how many corns are there?,1
28,there are 6 balloons,how many balloons are there?,6
29,there are 2 teddys,how many teddys are there?,2
29,there are 7 apples,how many apples are there?,7
30,there are 3 elephants,how many elephants are there?,3
31,there are 7 huts,how many huts are there?,7
32,there are 2 frogs,how many frogs are there?,2
33,there are 1 ladybug,how many ladybugs are there?,1
33,there are 2 ants,how many ants are there?,2
34,there are 6 fishs,how many fishs are there?,6
34,there are 1 car,how many cars are there?,1
35,there are 4 owls,how many owls are there?,4
35,there are 1 frog,how many frogs are there?,1
36,there are 2 zirafahs,how many zirafahs are there?,2
37,there are 7 fishs,how many fishs are there?,7
38,there are 3 lollipops,how many lollipops are there?,3
38,there are 6 suns,how many suns are there?,6
39,there are 1 zirafah,how many zirafahs are there?,1
40,there are 8 mangos,how many mangos are there?,8
41,there are 4 elephants,how many elephants are there?,4
41,there are 1 cup,how many cups are there?,1
42,there are 2 butterflys,how many butterflys are there?,2
43,there are 4 ants,how many ants are there?,4
43,there are 5 dogs,how many dogs are there?,5
44,there are 4 teddys,how many teddys are there?,4
45,there are 1 lollipop,how many lollipops are there?,1
46,there are 1 car,how many cars are there?,1
46,there are 3 ladybugs,how many ladybugs are there?,3
47,there are 1 ball,how many balls are there?,1
48,there are 2 birds,how many birds are there?,2
48,there are 4 corns,how many corns are there?,4
49,there are 1 mango,how many mangos are there?,1
49,there are 7 zirafahs,how many zirafahs are there?,7
50,there are 6 teddys,how many teddys are there?,6
51,there are 9 caterpillars,how many caterpillars are there?,9
52,there are 1 ant,how many ants are there?,1
52,there are 4 balls,how many balls are there?,4
53,there are 7 frogs,how many frogs are there?,7
54,there are 4 cupcakes,how many cupcakes are there?,4
54,there are 5 fishs,how many fishs are there?,5
55,there are 4 tops,how many tops are there?,4
55,there are 3 icecreams,how many icecreams are there?,3
56,there are 1 apple,how many apples are there?,1
56,there are 5 balls,how many balls are there?,5
57,there are 9 umbrellas,how many umbrellas are there?,9
58,there are 3 fishs,how many fishs are there?,3
58,there are 6 balloons,how many balloons are there?,6
59,there are 2 cups,how many cups are there?,2
59,there are 6 ladybugs,how many ladybugs are there?,6
60,there are 1 apple,how many apples are there?,1
60,there are 7 caps,how many caps are there?,7
61,there are 5 owls,how many owls are there?,5
61,there are 2 oranges,how many oranges are there?,2
62,there are 6 balloons,how many balloons are there?,6
62,there are 1 cap,how many caps are there?,1
63,there are 6 umbrellas,how many umbrellas are there?,6
64,there are 5 pigs,how many pigs are there?,5
65,there are 6 ducks,how many ducks are there?,6
65,there are 1 banana,how many bananas are there?,1
